"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2020,11,"9E","Endeavor Air Inc.","ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",29.00,2.00,1.82,0.00,0.18,0.00,0.00,0.00,0.00,69.00,66.00,0.00,3.00,0.00,0.00,
2020,11,"9E","Endeavor Air Inc.","ABY","Albany, GA: Southwest Georgia Regional",82.00,1.00,0.85,0.00,0.00,0.00,0.15,0.00,0.00,26.00,22.00,0.00,0.00,0.00,4.00,
2020,11,"9E","Endeavor Air Inc.","AEX","Alexandria, LA: Alexandria International",86.00,1.00,0.00,0.22,0.78,0.00,0.00,0.00,0.00,78.00,0.00,17.00,61.00,0.00,0.00,
2020,11,"9E","Endeavor Air Inc.","AGS","Augusta, GA: Augusta Regional at Bush Field",181.00,8.00,3.01,1.09,2.63,0.00,1.27,0.00,0.00,512.00,298.00,30.00,128.00,0.00,56.00,
2020,11,"9E","Endeavor Air Inc.","ALB","Albany, NY: Albany International",87.00,6.00,2.05,0.48,1.92,0.00,1.55,0.00,0.00,457.00,193.00,35.00,90.00,0.00,139.00,
2020,11,"9E","Endeavor Air Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",4939.00,224.00,92.45,5.72,64.21,0.00,61.62,0.00,1.00,14068.00,8231.00,462.00,1718.00,0.00,3657.00,
2020,11,"9E","Endeavor Air Inc.","ATW","Appleton, WI: Appleton International",198.00,11.00,6.72,0.00,3.66,0.00,0.62,0.00,0.00,540.00,294.00,0.00,206.00,0.00,40.00,
2020,11,"9E","Endeavor Air Inc.","AVL","Asheville, NC: Asheville Regional",147.00,7.00,2.95,2.00,0.03,0.00,2.02,0.00,0.00,254.00,105.00,81.00,1.00,0.00,67.00,
2020,11,"9E","Endeavor Air Inc.","AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International",63.00,2.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,56.00,0.00,0.00,56.00,0.00,0.00,
2020,11,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",149.00,12.00,4.14,0.18,7.68,0.00,0.00,0.00,0.00,350.00,93.00,6.00,251.00,0.00,0.00,
2020,11,"9E","Endeavor Air Inc.","BHM","Birmingham, AL: Birmingham-Shuttlesworth International",32.00,1.00,0.66,0.00,0.00,0.00,0.34,0.00,0.00,138.00,91.00,0.00,0.00,0.00,47.00,
2020,11,"9E","Endeavor Air Inc.","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",59.00,4.00,3.91,0.00,0.09,0.00,0.00,0.00,0.00,189.00,178.00,0.00,11.00,0.00,0.00,
